204  374
   1 177 1
   1 180 2
   2 162 45
   2 188 1
   3 178 7
   3 182 5
   3 186 1
   3 187 5
   4 186 3
   5 46 1
   5 94 3
   5 99 1
   5 110 9
   6 46 1
   6 98 3
   6 104 2
   6 114 9
   7 121 1
   7 162 94
   8 99 9
   8 110 1
   9 104 9
   9 114 2
   9 118 1
   9 125 5
   10 141 70
   10 158 2
   10 160 1
   11 147 66
   11 161 5
   11 162 1
   11 183 37
   12 89 6
   12 96 2
   12 106 5
   12 113 10
   13 108 6
   13 113 2
   13 120 3
   13 123 5
   14 62 6
   14 66 2
   14 72 3
   14 84 10
   15 81 6
   15 84 2
   15 92 3
   16 51 2
   16 52 1
   16 53 2
   16 63 10
   17 19 3
   17 61 2
   17 65 1
   18 48 8
   18 49 2
   18 52 3
   18 57 10
   19 57 2
   20 149 38
   20 163 5
   21 163 6
   21 165 1
   21 168 1
   21 169 1
   22 151 37
   22 163 1
   22 164 5
   23 163 1
   23 166 5
   24 25 1
   24 109 3
   24 116 2
   25 117 2
   26 131 1
   26 138 1
   26 152 65
   27 96 5
   27 106 2
   27 109 4
   28 29 10
   28 106 4
   28 109 2
   28 116 3
   29 119 4
   29 128 1
   29 130 3
   30 31 1
   30 82 3
   30 86 2
   31 85 1
   31 87 2
   32 89 10
   32 103 1
   32 108 2
   32 113 6
   33 66 5
   33 74 1
   33 77 2
   34 35 10
   34 82 2
   34 83 1
   34 86 3
   35 97 1
   35 101 2
   35 102 3
   36 37 1
   36 54 3
   36 59 2
   37 58 1
   37 60 2
   38 62 10
   38 73 1
   38 81 2
   38 84 6
   39 40 2
   39 51 2
   39 53 2
   40 54 1
   40 55 2
   41 56 10
   41 67 1
   41 70 2
   41 71 3
   42 43 1
   43 45 2
   43 47 1
   44 48 10
   44 57 8
   46 95 3
   46 111 9
   47 48 2
   47 49 8
   49 50 3
   50 51 1
   50 52 2
   52 61 10
   53 55 2
   53 64 10
   54 56 2
   55 56 1
   55 67 10
   56 59 3
   57 61 3
   58 62 2
   58 66 6
   59 60 1
   59 71 10
   60 62 1
   60 73 10
   61 63 1
   63 64 2
   63 65 2
   64 67 2
   64 68 2
   65 68 2
   67 69 2
   68 69 2
   69 70 1
   70 76 3
   71 73 1
   71 76 2
   72 75 1
   72 88 10
   73 78 2
   74 79 2
   74 80 2
   75 77 1
   75 90 10
   76 78 1
   77 80 1
   77 91 10
   78 81 1
   79 82 1
   79 83 2
   80 83 2
   80 93 10
   83 97 10
   84 88 3
   85 89 2
   85 96 6
   86 87 1
   86 102 10
   87 89 1
   87 103 10
   88 90 1
   88 92 2
   90 91 1
   90 94 2
   91 93 1
   91 95 2
   92 94 1
   92 99 3
   93 97 2
   93 98 2
   94 95 1
   95 98 1
   97 100 2
   98 100 2
   100 101 1
   100 104 3
   101 105 3
   101 118 12
   102 103 1
   102 105 2
   103 107 2
   104 120 12
   105 107 1
   106 112 5
   107 108 1
   108 115 5
   110 111 1
   111 114 1
   112 119 5
   112 150 74
   113 119 5
   114 121 5
   115 124 6
   115 126 7
   116 117 1
   116 130 10
   117 131 10
   117 148 66
   118 126 5
   118 127 5
   119 122 1
   120 124 2
   120 136 9
   121 125 2
   122 123 1
   122 128 4
   123 129 4
   124 137 7
   124 141 9
   125 127 1
   126 133 5
   126 137 6
   127 133 5
   128 129 1
   128 132 3
   129 135 3
   129 136 3
   130 131 1
   130 132 1
   131 134 1
   132 134 1
   132 135 1
   133 143 6
   134 138 1
   134 139 1
   135 139 1
   136 141 2
   136 142 5
   137 143 5
   137 144 9
   138 140 1
   138 154 65
   139 140 1
   140 142 3
   140 156 65
   141 144 7
   142 145 9
   142 158 65
   143 146 9
   144 145 5
   144 146 5
   145 147 5
   145 161 66
   146 147 5
   148 149 1
   148 150 5
   149 151 5
   150 151 1
   150 152 5
   151 153 5
   152 153 1
   152 154 1
   153 155 1
   153 164 37
   154 155 1
   154 156 1
   155 157 1
   155 165 37
   156 157 1
   156 158 3
   157 159 3
   157 167 37
   158 159 1
   159 160 2
   159 171 37
   160 161 7
   160 174 37
   161 179 37
   164 165 1
   164 166 2
   165 167 1
   166 168 1
   167 169 1
   167 171 3
   168 170 1
   169 170 1
   169 172 3
   170 173 3
   171 172 1
   171 174 2
   172 173 1
   172 175 2
   173 176 2
   173 177 5
   174 175 1
   174 179 7
   175 176 1
   175 181 7
   176 178 5
   176 182 7
   177 178 2
   178 180 1
   179 181 1
   179 183 5
   180 186 7
   181 182 1
   181 184 5
   182 185 5
   183 184 1
   184 185 1
   185 187 5
   186 188 5
   187 188 1
   1 189 100000
   2 189 100000
   3 189 100000
   4 189 100000
   5 190 100000
   6 190 100000
   7 190 100000
   8 190 100000
   9 190 100000
   10 191 100000
   11 191 100000
   12 192 100000
   13 192 100000
   14 193 100000
   15 193 100000
   16 194 100000
   17 194 100000
   18 195 100000
   19 195 100000
   20 196 100000
   21 196 100000
   22 196 100000
   23 196 100000
   24 197 100000
   25 197 100000
   26 197 100000
   27 198 100000
   28 198 100000
   29 198 100000
   30 199 100000
   31 199 100000
   32 199 100000
   33 200 100000
   34 200 100000
   35 200 100000
   36 201 100000
   37 201 100000
   38 201 100000
   39 202 100000
   40 202 100000
   41 202 100000
   42 203 100000
   43 203 100000
   44 203 100000
   45 204 100000
   46 190 100000

 16
 
  189
  190
  191
  192
  193
  194
  195
  196
  197
  198
  199
  200
  201
  202
  203
  204
  
 16
 
  189
  190
  191
  192
  193
  194
  195
  196
  197
  198
  199
  200
  201
  202
  203
  204
 
