370 721
  1 6 7
  1 341 1
  1 342 1
  1 343 6
  2 343 5
  3 341 6
  3 343 1
  4 342 6
  4 343 1
  5 10 7
  5 336 1
  5 337 1
  5 338 5
  6 338 6
  6 339 1
  6 340 1
  7 336 5
  7 338 1
  7 339 6
  8 337 5
  8 338 1
  8 340 6
  9 14 7
  9 331 1
  9 332 1
  9 333 6
  10 333 5
  10 334 1
  10 335 1
  11 331 6
  11 333 1
  11 334 5
  12 332 6
  12 333 1
  12 335 5
  13 18 7
  13 326 1
  13 327 1
  13 328 5
  14 328 6
  14 329 1
  14 330 1
  15 326 5
  15 328 1
  15 329 6
  16 327 5
  16 328 1
  16 330 6
  17 22 7
  17 318 1
  17 320 1
  17 321 1
  18 323 5
  18 324 1
  18 325 1
  19 319 5
  19 323 1
  19 324 5
  20 322 5
  20 323 1
  20 325 5
  21 26 7
  21 313 1
  21 314 1
  21 315 5
  22 315 6
  22 316 1
  22 317 1
  23 313 5
  23 315 1
  23 316 6
  24 314 5
  24 315 1
  24 317 6
  25 296 6
  25 303 1
  25 305 1
  25 307 6
  26 307 5
  26 311 1
  26 312 1
  27 303 6
  27 307 1
  27 311 5
  28 305 6
  28 307 1
  28 312 5
  29 281 4
  29 283 2
  29 290 5
  29 300 10
  30 298 4
  30 300 2
  31 213 4
  31 224 2
  31 245 5
  31 265 10
  32 250 6
  32 265 2
  32 282 5
  33 154 1
  33 160 2
  33 200 10
  34 36 3
  34 192 2
  34 215 1
  35 154 3
  35 181 10
  36 181 2
  37 38 1
  37 58 4
  37 299 1
  37 302 2
  38 56 4
  38 304 2
  39 297 16
  39 310 1
  40 283 5
  40 284 4
  40 290 2
  40 295 4
  41 42 10
  41 290 4
  41 295 2
  41 301 2
  42 306 4
  42 308 2
  43 44 1
  43 249 4
  43 255 3
  43 270 2
  44 254 4
  44 269 1
  44 272 2
  45 274 10
  45 288 1
  45 291 1
  45 294 2
  46 163 16
  46 224 5
  46 245 2
  46 255 4
  47 48 10
  47 245 4
  47 255 2
  47 270 3
  48 279 4
  48 285 2
  48 286 3
  49 50 1
  49 156 5
  49 174 1
  49 188 2
  50 159 5
  50 187 1
  50 191 2
  51 199 10
  51 241 1
  51 250 2
  51 265 6
  52 144 5
  52 157 1
  52 160 2
  53 64 5
  53 157 1
  53 165 1
  53 169 2
  54 175 10
  54 225 1
  54 235 2
  54 238 3
  55 266 3
  55 271 1
  55 276 1
  55 277 1
  56 58 1
  56 277 12
  56 297 1
  57 58 12
  57 59 1
  57 271 1
  57 277 1
  58 60 1
  59 60 12
  59 267 2
  59 268 1
  60 287 2
  60 299 4
  61 118 3
  61 121 1
  61 144 12
  62 64 12
  62 71 3
  62 121 1
  62 125 1
  63 64 1
  63 121 12
  63 144 1
  63 157 5
  64 151 1
  65 229 1
  65 251 6
  66 251 9
  66 275 1
  67 229 6
  67 236 4
  67 251 1
  67 275 9
  68 251 4
  69 82 1
  69 110 1
  69 112 6
  70 83 1
  70 111 1
  70 115 6
  71 72 1
  71 95 8
  71 119 1
  72 79 2
  72 96 8
  72 125 3
  73 74 1
  73 98 8
  73 124 1
  73 132 3
  74 99 8
  74 131 2
  74 135 3
  75 77 6
  75 84 1
  75 91 1
  76 85 1
  76 114 6
  76 117 2
  76 120 4
  77 82 1
  78 83 1
  78 92 6
  78 110 2
  79 116 8
  79 124 1
  79 126 3
  80 84 1
  80 94 1
  80 118 8
  81 85 1
  81 99 2
  81 123 4
  81 131 8
  82 91 6
  83 93 6
  84 100 1
  85 106 2
  85 122 4
  86 107 6
  87 107 5
  87 108 1
  87 109 1
  87 170 41
  88 107 1
  88 108 5
  89 107 1
  89 109 5
  90 322 198
  91 100 1
  91 112 1
  92 93 1
  92 103 1
  92 113 2
  93 104 1
  93 115 1
  94 95 1
  94 100 1
  94 119 8
  95 96 1
  95 101 1
  96 102 1
  96 116 2
  97 98 1
  97 104 1
  97 116 1
  97 124 8
  98 99 1
  98 105 1
  99 106 1
  100 101 1
  101 102 1
  101 112 1
  102 103 2
  102 113 1
  103 104 1
  103 116 1
  104 105 1
  105 106 1
  105 115 1
  106 117 1
  108 167 41
  109 176 41
  110 113 6
  111 114 2
  111 117 6
  112 113 1
  114 161 29
  115 117 1
  118 119 1
  119 121 3
  120 122 1
  120 127 5
  122 123 1
  122 130 5
  123 134 5
  123 141 8
  124 128 3
  125 126 2
  125 151 12
  126 128 1
  126 129 1
  127 130 1
  127 138 4
  128 132 1
  128 133 1
  129 133 1
  129 155 11
  130 134 1
  130 140 4
  131 139 3
  131 141 4
  132 135 1
  132 136 1
  133 136 1
  133 156 11
  134 143 4
  134 153 8
  135 137 1
  135 139 2
  136 137 1
  136 159 11
  137 142 2
  137 164 11
  138 140 1
  138 145 3
  139 142 1
  139 148 4
  140 143 1
  140 147 3
  141 148 3
  141 153 5
  142 163 9
  142 173 11
  143 150 3
