 1119 2251
 1 167 1
 1 1057 5
 1 1063 1
 1 1067 6
 2 167 1
 2 1060 5
 2 1066 1
 2 1069 6
 3 1030 25
 3 1063 6
 3 1067 1
 4 1066 6
 4 1069 1
 5 988 21
 5 1044 1
 5 1056 6
 5 1061 9
 6 1061 6
 6 1065 1
 7 1044 9
 7 1054 5
 7 1061 1
 7 1065 6
 8 1056 9
 8 1061 6
 9 10 1
 9 1009 13
 9 1046 2
 10 1049 2
 11 1059 6
 11 1064 1
 12 1037 13
 12 1050 6
 12 1059 1
 12 1064 6
 13 1059 2
 14 915 2
 14 920 1
 14 924 1
 14 925 1
 15 17 1
 15 949 6
 15 965 1
 15 1033 21
 16 18 1
 16 920 1
 16 925 1
 16 944 6
 17 19 1
 17 944 6
 17 1029 21
 18 850 25
 18 916 1
 18 940 6
 19 891 25
 19 940 6
 19 1025 21
 20 711 5
 20 731 1
 20 749 2
 20 804 12
 21 731 12
 21 804 1
 22 23 1
 22 52 1
 22 181 8
 22 881 1
 23 34 2
 23 53 1
 23 182 8
 24 25 1
 24 54 1
 24 184 8
 24 892 1
 25 55 1
 25 185 8
 25 895 1
 26 30 1
 26 914 1
 26 921 1
 26 935 5
 27 31 1
 27 930 1
 27 937 1
 27 955 5
 28 32 1
 28 168 1
 28 875 11
 28 906 5
 29 33 1
 29 171 1
 29 941 5
 30 35 1
 30 909 1
 30 931 5
 31 36 1
 31 926 1
 31 951 5
 32 37 1
 32 172 1
 32 886 5
 33 38 1
 33 179 1
 34 60 1
 34 892 1
 34 902 8
 35 876 17
 35 906 1
 35 927 5
 36 921 2
 36 923 1
 36 947 5
 37 180 1
 37 864 11
 37 879 8
 38 186 1
 38 897 8
 39 40 1
 39 64 1
 39 642 2
 39 659 2
 40 65 1
 40 662 2
 40 663 2
 41 710 5
 41 730 1
 41 744 1
 41 748 2
 42 689 2
 42 694 1
 42 703 1
 42 704 1
 43 703 2
 43 709 1
 43 719 1
 43 823 20
 44 579 2
 44 588 1
 44 599 1
 44 629 7
 45 47 1
 45 630 6
 45 699 7
 46 48 1
 46 588 1
 46 599 1
 46 625 6
 47 49 1
 47 625 6
 48 580 1
 48 621 6
 49 621 6
 50 74 1
 50 780 5
 50 811 1
 50 837 6
 51 75 1
 51 805 5
 51 836 1
 51 856 6
 52 53 1
 52 194 8
 52 878 1
 53 60 2
 53 195 8
 54 55 1
 54 197 8
 54 890 1
 55 198 8
 55 893 1
 56 58 6
 56 76 1
 56 187 1
 56 765 11
 57 77 1
 57 192 1
 57 848 6
 58 74 1
 58 734 11
 58 764 5
 59 75 1
 59 189 6
 59 797 5
 59 811 2
 60 857 8
 60 890 1
 61 76 1
 61 193 1
 61 812 5
 61 858 5
 62 77 1
 62 199 1
 62 894 8
 63 522 6
 63 557 1
 63 576 2
 63 598 5
 64 65 1
 64 635 2
 64 636 2
 65 641 2
 65 658 2
 66 586 2
 66 592 1
 66 601 1
 66 602 1
 67 601 2
 67 606 1
 67 616 1
 67 718 20
 68 70 1
 68 454 6
 68 509 6
 68 538 10
 69 550 1
 69 551 1
 69 569 2
 69 603 7
 70 72 1
 70 451 6
 70 502 6
