 5000    7000
    1    1504      11
    1    2100      11
    1    2316      45
    3    1099      29
    3    2196      43
    3    3070      56
    7    1575       2
    7    4564      19
    9    4522       8
   10     342      41
   10    3694      36
   11    3202      25
   13    3673      51
   14     926      44
   17    1198       6
   17    2788      15
   18    4373      48
   19    3804      47
   21     763      40
   21    2868      19
   21    2937      44
   21    3812      13
   21    4780       4
   22    1164      11
   22    1342       1
   22    3703      52
   23    1050      41
   24    3393      44
   26    1332      46
   26    2542      31
   27    1243      38
   27    2848      60
   27    4310      31
   27    4994      39
   28    2358      26
   29    1649      34
   30    1332      16
   30    2764      30
   31    2420      57
   31    3030      18
   32    3755      10
   33    1140      30
   33    1296      35
   33    2231       9
   35    3658      22
   36    1150      57
   36    4310      54
   37    3499      58
   37    3540      10
   38    3385      34
   39    2031      38
   39    4563      15
   40    2072       4
   40    3135      21
   41    3284      46
   43      33       6
   43    1251      11
   46    3242      41
   46    4734      56
   47    3155      49
   47    4708      20
   48    2361       9
   49    2519      35
   49    4163      57
   49    4408      12
   50    3208       8
   50    3848      46
   51     289      24
   51    1980      26
   51    3472      22
   51    4517       4
   52    4556      23
   53     267      30
   53     709      10
   53    3411      33
   54    2541       4
   54    4985       7
   57    1974      49
   57    3040      29
   58    1275      50
   58    4442      53
   59    3532      48
   59    3629      20
   60    2532       4
   61     328      14
   62    3547      13
   63    3472      44
   63    4102       9
   64     303      25
   67    2480      37
   67    4414      36
   67    4607       6
   69    2882       2
   70    1876      20
   70    2168      43
   71       1      13
   71    1635      29
   72    2357      59
   73      93      47
   74    3445      44
   75    2717      54
   75    3731      30
   76    1026      46
   76    2919      54
   77    2718      38
   78    3266      56
   78    3837      11
   80    3592      37
   82    3278      49
   85    1145      33
   85    1247       7
   85    3592      14
   86    2573      29
   86    4759       8
   87    4532      51
   87    4860       1
   87    4965       6
   88     140      52
   88     716      24
   89    2925      41
   90    2146      17
   90    3003      50
   91     709      54
   91    1065      18
   92    3808      33
   93    1913      11
   93    4780      58
   94     937      21
   96    4495      54
   98     167      39
   98     957       9
   99    1304      12
  101    1334      10
  103    4787      48
  104    1374      44
  105    2053      42
  106    1196      42
  106    1937      18
  106    2572      15
  106    2776      30
  108     398      55
  108    2388      38
  109    2221       3
  110    3607      24
  111    1508       1
  112    1325      37
  112    1990       1
  112    3812      34
  114     905      38
  118    3894      53
  119    3377      49
  120     677      46
  120    1877      18
  120    4057      15
  120    4976      27
  122     538      52
  122    3061      47
  123    1638      29
  124    2563      25
  126     735      15
  126    1380      18
  126    3792      36
  127    1638      38
  128     479      25
  128    1478      32
  128    2673      38
  129    1623      35
  129    1727      34
  130    1956       2
  131    1435       4
  132     365      38
  132    1626      45
  133     674      43
  133    1407      29
  135    3907      44
  136    3462      56
  139    3575      47
  140     517       1
  141     233      44
  141    1551      42
  142     175      27
  143    1383      10
  144     215      17
  146     811      23
  147    2358      39
  148    4461      41
  149    1949      23
  149    2253      15
  149    2908      37
  150     438       3
  150    2463      38
  152    4573      48
  153    4231      47
  155    1331      33
  155    2411      30
  156    4170      13
  157    1557       6
  157    1673      15
  158      31       8
  158    1157      55
  160    2799      33
  161    4265       6
  163    3542      17
  164    1098      25
  165     562      18
  165    2813      58
  165    4776       9
  166     487      24
  166    3187      59
  167     417      44
  168    1598      19
  168    2269      45
  169    2165      33
  169    4480      20
  171    2618      59
  171    2685      33
  172    3256      43
  173    2438      34
  174    1646      52
  174    2407      25
  174    3317      12
  175    1685      19
  175    4925      36
  177    2552       5
  180     320      13
  180    1504      29
  181    1810      18
  182     656      25
  182    4123      19
  183    1902       8
  183    3810      50
  183    4424      43
  184    1277      11
  184    4322      45
  187     247      36
  187     838      30
  187    4658      21
  188    4207      23
  189     394      59
  189    1670      33
  189    2082      51
  189    3017      33
  190    1159      33
  191    1699      20
  192    2714      40
  193     662      13
  193     819      58
  194    4329      40
  196    2301      51
  197    4876       3
  197    4878      59
  199    2621      49
  199    3753       1
  200     601      21
  200    2629      25
  200    2858      37
  200    3743       1
  202    1038      54
  203    1698      56
  203    2914      38
  203    3498       3
  204     351      52
  204     908       5
  205     704      47
  205    1315      44
  206      36      29
  207     343      47
  207    2021       5
  207    2172      47
  207    2789      23
  208    1519      41
  208    2637      10
  210     542      36
  211    2240      54
  211    2722       1
  211    3156       9
  211    4604      11
  213    1342      48
  213    2639      60
  213    3595      52
  213    4645       1
  214    4930      56
  216     433      19
  216    1587      48
  217     517      59
  220    2885      35
  220    3909      15
  220    4948       2
  221    1593      52
  221    3778      17
  221    4965      16
  222    2116      10
  225    2341      44
  225    4301      31
  227     531       4
  228    2138      30
  229     106      58
  229    1488      19
  229    3967      46
  229    4297      56
  230     537       2
  230    1210      56
  230    4929      53
  231     848      57
  231    3129       2
  232    3916      27
  233    2890      39
  234    1212      54
  234    3483      47
  235     563      10
  237    3504      45
  238    1901      14
  238    3243      20
  239     890      17
  240    3813       2
  241      99      49
  242    3311       2
  242    4513      30
  243    2729      25
  244     584       7
  245    1992      21
  246    4156      12
  247     619      35
  247    2587      41
  248     730      26
  248    3241      26
  249    3217      55
  250    3701      43
  250    3767       5
  250    4483      15
  251    1048      24
  251    1731      40
  251    2098      47
  251    2195      48
  251    2361      47
  252    2302      49
  252    4856      36
  253    1115       4
  254     721       2
  254    2026      13
  254    2672      40
  254    2860      30
  255    4575      40
  256     133      27
  256     448      39
  257    1453      25
  257    2860      40
  257    3508      22
  258    4771      30
  259    4754      58
  261    3144      46
  262    4462       7
  263     208      35
  263    1221       3
  263    3941      29
  263    4420      14
  265     604      10
  266    2330       1
  266    2430      54
  268    3571      12
  270    2066      32
  271     409      51
  271    4676      54
  272    2083      15
  272    3003      17
  273    1656      32
  274     985      34
  275     921      59
  275    2882      44
  276    1359      46
  276    3701      52
  276    4512      22
  277    1400      25
  280    1502      44
  280    3649       7
  280    3833      19
  280    4246      13
  280    4801      38
  282    2457      49
  284    1204      49
  287    3804      17
  287    4210      35
  290    1550      55
  291      18      29
  291    3761      34
  292    2253       8
  292    3345      25
  293    2261      36
  293    3807      46
  294    1116      38
  294    4436       3
  296    2755      40
  296    3916      10
  297     759      54
  297    4986       6
  299    2590      20
  299    3667      45
  299    4771      30
  300     405      18
  300     668      38
  300    2043      26
  300    3554      43
  301    2108      42
  301    3628      39
  304    4742      15
  305    3481      17
  306    4680      45
  307    4739      55
  308    3444      31
  308    4514      41
  309       3       7
  310    1244      30
  312    2137      33
  312    3610      47
  313    1313      23
  314    3688       9
  315     394      57
  315    1401      21
  315    2367      40
  317    2912      54
  318     544      57
  318    2714       2
  319     922      13
  319    1014      42
  320    4333       3
  322    1549      57
  323     843      17
  323    2819      30
  323    4808      53
  324    1145      21
  326    1833      18
  326    3519      10
  327     718       9
  327     885      59
  327    2658      51
  329    2099      51
  329    2324       9
  329    3305      42
  330    4621      31
  331    3795      11
  331    4496      36
  332    1352      46
  332    2537      24
  333    2454      27
  333    3130      45
  335    1399       5
  335    4592      24
  336    3838      35
  337    1497      50
  337    3742      52
  339    1963       7
  339    3562      18
  339    3807      40
  339    4184      24
  340     594      55
  340    4062      14
  340    4731      55
  341     258      48
  341    1436       5
  342    4079      42
  344     541      28
  344    1300      49
  344    3735       1
  344    3911       6
  345     124      54
  345    2232      39
  346    3566      41
  346    4624      46
  347    1545      32
  347    1648      51
  347    1734      45
  349     445       9
  350     594      23
  350    1765      12
  350    4289      20
  351    2384      34
  352     838      25
  352     926      44
  352    2811       5
  352    3077      11
  353    3234      49
  354     637      59
  354    4313       6
  355    3146      53
  355    3389      38
  355    4108       3
  356    1625       1
  357    3529      49
  358     115       6
  358    2146      28
  359    1037      53
  359    1259      25
  360    1957      24
  360    2756      22
  361     585      22
  361     743      19
  364    1945      46
  365    3121      25
  366    2708      16
  366    2857      54
  367     651      59
  369     388      10
  370    2111      49
  370    2460      19
  371    4898      26
  374      10      33
  375     206       1
  375    1547      43
  375    3447      13
  375    3672      12
  376     691      44
  376    2940      56
  378     396      31
  379    3273      17
  380    1197      19
  380    2057      28
  380    2908      16
  381    1284      34
  381    3123      24
  381    4167      11
  382     749      60
  382    1416      45
  382    3878      57
  384    2031       5
  387    3022      22
  387    4307      52
  388    2256       6
  388    4559      40
  390    1514      19
  391    2159      38
  391    2286      15
  391    3493      24
  391    4102      10
  392    4928      52
  393    3084      60
  394     497      54
  394    1440       6
  394    2084      16
  394    3953      25
  394    4306       7
  395     779      31
  396    4711      30
  397    2082      25
  398    1250       7
  399     479      40
  402    1027      33
