311 613
 1 54 1
 1 288 4
 1 290 1
 1 292 2
 2 54 1
 2 286 10
 2 293 1
 2 295 2
 3 233 50
 3 291 7
 3 296 1
 4 293 9
 4 298 1
 5 152 2
 5 163 1
 6 177 5
 7 114 6
 7 125 1
 7 130 1
 7 135 5
 8 135 6
 8 143 1
 8 148 1
 8 158 4
 9 125 5
 9 135 1
 9 143 6
 10 130 5
 10 135 1
 10 148 6
 10 172 16
 11 55 2
 11 258 1
 11 259 1
 11 270 9
 12 56 2
 12 59 1
 12 267 1
 12 278 9
 13 270 6
 13 279 1
 14 259 9
 14 269 1
 14 270 1
 14 279 6
 15 267 9
 15 278 1
 16 17 2
 16 118 1
 16 119 1
 16 138 9
 17 122 1
 17 128 1
 17 140 9
 18 140 6
 18 147 2
 18 157 1
 18 169 6
 19 103 16
 19 119 9
 19 138 1
 19 144 6
 20 128 9
 20 140 1
 20 157 6
 20 264 50
 21 57 2
 21 62 5
 21 225 1
 21 229 1
 22 56 1
 22 59 2
 22 260 2
 22 261 1
 23 227 5
 23 235 2
 23 238 1
 23 257 7
 24 248 3
 25 208 1
 25 209 1
 25 214 1
 25 226 5
 26 223 7
 26 237 1
 26 239 1
 26 242 2
 27 40 1
 27 167 1
 27 171 2
 27 187 9
 28 41 1
 28 173 2
 28 182 1
 28 201 9
 29 61 2
 29 187 6
 29 202 1
 29 218 5
 30 57 5
 30 62 2
 30 201 6
 30 221 1
 31 167 9
 31 179 3
 31 187 1
 31 202 6
 32 182 9
 32 201 1
 32 221 6
 33 34 2
 33 45 1
 33 71 1
 33 74 9
 34 46 1
 34 73 1
 34 75 9
 35 36 2
 35 74 6
 35 77 1
 35 89 5
 36 75 6
 36 83 1
 36 93 5
 37 71 9
 37 74 1
 37 77 6
 38 73 9
 38 75 1
 38 83 6
 38 127 27
 39 131 1
 39 142 6
 40 63 2
 40 142 9
 40 164 1
 41 64 2
 41 153 9
 41 178 1
 42 131 6
 42 136 3
 42 142 1
 42 164 9
 43 153 1
 43 178 9
 44 67 1
 44 69 6
 45 46 2
 45 68 9
 45 70 1
 46 69 9
 46 72 1
 47 68 1
 47 70 9
 48 67 6
 48 69 1
 48 72 9
 48 88 27
 49 65 6
 50 51 1
 50 76 93
 51 65 9
 51 66 2
 51 78 93
 52 65 2
 52 66 9
 53 79 154
 54 289 4
 54 294 2
 55 56 1
 55 261 1
 55 273 9
 56 275 9
 57 58 1
 57 234 1
 58 221 5
 58 236 1
 59 60 1
 59 262 2
 60 263 2
 60 267 1
 61 62 1
 61 192 6
 61 225 5
 62 195 6
 63 64 1
 63 145 9
 63 171 1
 64 149 9
 64 173 1
 66 80 93
 67 76 27
 68 69 2
 70 71 1
 72 73 1
 72 104 27
 73 107 27
 74 75 2
 76 78 1
 76 88 6
 77 86 5
 78 80 2
 78 91 6
 79 81 1
 79 82 1
 80 94 6
 80 121 20
 81 84 1
 81 85 1
 82 85 1
 82 100 9
 83 95 5
 83 137 27
 84 87 1
 84 115 16
 85 87 1
 85 101 9
 86 89 1
 86 90 1
 87 103 9
 87 119 16
 88 91 1
 88 104 9
 89 92 1
 89 93 2
 90 92 1
 90 98 5
 91 94 2
 91 106 9
 92 96 2
 92 99 5
 93 95 1
 93 96 1
 94 109 9
 94 133 20
 95 97 1
 95 204 51
 96 97 1
 96 102 5
 97 105 5
 97 146 27
 98 99 1
 98 110 7
 99 102 2
 99 113 7
 100 101 1
 100 111 6
 101 103 1
 101 114 6
 102 105 1
 102 117 7
 103 116 6
 104 106 1
 104 107 1
 105 120 7
 105 161 27
 106 108 1
 106 109 2
 107 108 1
 107 127 9
 108 112 2
 108 129 9
 109 112 1
 109 151 21
 110 113 1
 110 115 2
 111 114 1
 111 125 6
 112 132 9
 112 155 21
 113 117 2
 113 118 2
 114 116 1
 115 118 1
 115 119 1
 116 130 6
 116 144 16
 117 120 1
 117 122 2
 118 122 2
 120 124 2
 120 237 50
 121 123 1
 121 133 6
 122 124 1
 123 126 1
 123 134 6
 124 128 1
 124 183 27
 126 131 3
 126 136 6
 127 129 1
 127 137 6
 128 243 50
 129 132 2
 129 139 6
 130 162 16
 132 141 6
 132 174 20
 133 134 1
 133 174 19
 134 136 1
 134 151 9
 136 154 9
 137 139 1
 137 146 6
 138 140 2
 138 147 6
 139 141 2
 139 150 6
 141 156 6
 141 188 20
 142 145 2
 143 152 4
 144 147 1
 144 162 6
 145 149 1
 146 150 1
 146 161 5
 147 166 6
 148 160 4
 148 186 16
 149 153 2
 150 156 2
 150 165 5
 151 154 1
 151 155 1
 152 158 1
 154 159 1
 154 164 3
 155 159 1
 155 176 9
 156 168 5
 156 205 20
 157 170 6
 157 271 50
 158 160 1
 158 163 2
 159 167 3
 159 179 9
 160 181 9
 160 198 16
 161 165 1
 161 183 9
 162 166 1
 162 172 5
 163 177 7
 163 203 17
 164 167 1
 165 168 2
 165 185 9
 166 169 2
 166 175 5
 168 189 9
 168 220 20
 169 170 1
 169 180 5
 170 184 5
 170 280 50
 171 173 1
 171 192 9
 172 175 1
 172 186 6
 173 195 9
 174 176 1
 174 188 6
 175 180 2
 175 190 6
 176 179 1
 176 191 6
 177 181 1
 178 182 1
 179 193 6
 180 184 1
 180 194 6
 181 224 16
 183 185 1
 184 197 6
 184 283 50
 185 189 2
 186 190 1
 186 198 4
 187 192 2
 188 191 1
 188 205 6
 189 240 20
 190 194 2
 190 200 4
 191 193 1
 191 204 5
 192 195 1
 193 196 1
 193 208 5
 194 197 1
 194 206 4
 195 201 2
 196 199 1
 196 211 5
 197 210 4
 197 287 50
 198 200 1
 198 203 2
 199 202 1
 199 213 5
 200 206 2
 200 207 2
 202 216 5
 203 207 1
 203 224 7
 204 208 1
 204 209 1
 205 209 1
 205 220 5
 206 210 1
 206 212 2
 207 212 2
 208 211 1
 209 223 5
 210 215 2
 210 290 50
 211 213 1
 211 214 1
 212 215 1
 212 231 7
 213 216 1
 213 217 1
 214 217 1
 214 228 5
 215 233 7
 215 291 50
 216 218 1
 216 219 1
 217 219 1
 217 230 5
 218 222 1
 218 225 2
 219 222 1
 219 232 5
 220 223 1
 220 237 7
 222 227 2
 222 235 5
 223 226 1
 224 231 3
 225 227 1
 226 228 1
 226 239 7
 227 229 1
 228 230 1
 228 241 7
 229 234 2
 229 238 5
 230 232 1
 230 245 7
 231 233 1
 232 235 1
 232 249 7
 234 236 1
 234 244 5
 235 252 7
 236 248 5
 237 240 2
 238 244 2
 238 260 7
 239 241 1
 239 246 2
 240 242 1
 240 243 1
 241 245 1
 241 250 2
 242 246 1
 242 247 1
 243 247 1
 243 264 9
 244 248 1
 244 262 7
 245 249 1
 245 253 2
 246 250 1
 246 251 1
 247 251 1
 247 265 9
 248 263 7
